Symbol,Description,Industry,Sector,Exchange,Index,Market capitalization,Market capitalization - Currency,Price,Price - Currency,Pre-market Open,Pre-market Open - Currency,Pre-market Change,Pre-market Change - Currency,Pre-market Change %,Pre-market Gap %,Free float,Volume 1 day,Volume 1 week,Pre-market Volume,Average Volume 10 days,Average Volume 30 days,Average Volume 90 days,Volatility 1 day,Volatility 1 week,Volatility 1 month,Volume Weighted Average Price 1 day,Price to earnings ratio,Relative Volume at Time,Relative Volume 1 day,Beta 1 year,Beta 3 years,Beta 5 years,Relative Volume 1 minute,Relative Volume 5 minutes,Relative Volume 15 minutes,Relative Volume 30 minutes,Relative Volume 1 hour,Relative Volume 2 hours,Relative Volume 4 hours,Relative Volume 1 week,Relative Volume 1 month,High 1 month,High 1 month - Currency,High 3 months,High 3 months - Currency,High 6 months,High 6 months - Currency,High 52 weeks,High 52 weeks - Currency,High All Time,High All Time - Currency,High 5 minutes,High 5 minutes - Currency,High 15 minutes,High 15 minutes - Currency,High 30 minutes,High 30 minutes - Currency,High 1 hour,High 1 hour - Currency,High 2 hours,High 2 hours - Currency,High 4 hours,High 4 hours - Currency,High 1 day,High 1 day - Currency,High 1 week,High 1 week - Currency,High 1 month,High 1 month - Currency,"Revenue per employee, Annual","Revenue per employee, Annual - Currency",Simple Moving Average (5) 1 minute,Simple Moving Average (8) 1 minute,Simple Moving Average (5) 5 minutes,Simple Moving Average (13) 5 minutes,"Bollinger Bands (20) 1 minute, Upper","Bollinger Bands (20) 1 minute, Basis","Bollinger Bands (20) 1 minute, Lower","Bollinger Bands (20) 5 minutes, Upper","Bollinger Bands (20) 5 minutes, Basis","Bollinger Bands (20) 5 minutes, Lower",ISIN,Relative Volume 1 day,Recent earnings date,Upcoming earnings date,Analyst Rating,Target price 1 year,Target price 1 year - Currency,Technical Rating 5 minutes,Exponential Moving Average (3) 1 day,Exponential Moving Average (7) 1 day
NVDA,NVIDIA Corporation,Semiconductors,Electronic technology,NASDAQ,"S&P 500, NASDAQ 100, Dow Jones Industrial Average, NASDAQ Composite, PHLX Semiconductor Sector, S&P 500 Information Technology, S&P 500 ESG, Nasdaq US Large Cap Growth, NASDAQ Computer, NASDAQ-100 Technology Sector, NASDAQ CB Insights Metaverse US, S&P 100, Russell 3000, Dow Jones Composite Average, Russell 1000, STOXX Global 1800, STOXX North America 600, STOXX USA 500, STOXX Global 1800 ex Asia/Pacific, STOXX Global 1800 ex Europe, STOXX Global 150, STOXX North America 50, STOXX Americas 100, STOXX Global 200, STOXX Developed Markets 150, STOXX Developed Markets 2400, STOXX USA 500",4270725000000,USD,175.75,USD,176.3,USD,1.5999999999999943,USD,0.9174311926605472,1.0894495412844067,23379686100,167997880,579806173,4378484,186756933.70000172,192330521.46666685,182615005.9444431,1.699570815450643,2.949890496307237,3.023475688851398,175.95666666666668,35.85563897502856,0.8773148469564512,0.9050368448031011,1.8700794,2.1705468,2.3289635,3.7069569835085234,2.7350074190299543,2.0106955186293476,1.4304571880632098,0.539971935312055,0.29692521844695724,0.5539803358329505,0.6562444534535964,0.0444386781663344,188.88,USD,197.6299,USD,212.1899,USD,212.1899,USD,212.1899,USD,175.88,USD,176.24,USD,176.26,USD,176.26,USD,176.26,USD,176.72,USD,177.37,USD,177.37,USD,177.37,USD,5141380.95238095,USD,175.68299999999996,175.70626250000015,175.97002000000037,175.87924615384597,176.38046648956356,175.93046500000028,175.480463510437,176.37764835754288,175.6547600000001,174.9318716424573,US67066G1040,0.9050368448031011,2026-02-25,2026-05-20,Strong buy,269.162586,USD,Neutral,173.4779900184714,173.2623714195783
AAPL,Apple Inc.,Telecommunications equipment,Electronic technology,NASDAQ,"S&P 500, NASDAQ 100, Dow Jones Industrial Average, NASDAQ Composite, S&P 500 Information Technology, S&P 500 ESG, Nasdaq US Large Cap Growth, NASDAQ Computer, NASDAQ-100 Technology Sector, NASDAQ CB Insights Metaverse US, S&P 100, Russell 3000, Dow Jones Composite Average, Russell 1000, STOXX Global 1800, STOXX North America 600, STOXX USA 500, STOXX Global 1800 ex Asia/Pacific, STOXX Global 1800 ex Europe, STOXX Global 150, STOXX North America 50, STOXX Americas 100, STOXX Global 200, STOXX Developed Markets 150, STOXX Developed Markets 2400, STOXX USA 500",3752929593000,USD,255.63,USD,255.45,USD,0.11000000000001364,USD,0.043342921312901864,0.6540840852673457,14664480994.8,40042860,129087164,272552,45615403.99999931,41191438.166667074,46271860.44444435,1.1250148028263507,2.4351590303709654,2.136132747275592,255.04666666666665,32.342670614134974,0.9533140248971325,0.8861607061943352,1.282917,0.89148307,1.1033657,4.173468444695222,4.792912967700285,4.9382511754400475,3.610526179723341,1.2695332332849516,0.7536439432757227,0.7443616692962471,0.5557344469893009,0.0381639508583239,266.15,USD,280.905,USD,288.62,USD,288.62,USD,288.62,USD,255.76,USD,256.13,USD,256.13,USD,256.13,USD,256.13,USD,256.13,USD,256.18,USD,256.18,USD,256.18,USD,2506993.97590361,USD,255.49,255.47875000000033,255.7849999999999,255.31653846153765,256.25208316353246,255.7289650000001,255.20584683646774,256.24181321022337,254.9892450000003,253.73667678977725,US0378331005,0.8861607061943352,2026-01-29,2026-04-30,Buy,297.973077,USD,Buy,253.41304464135558,252.19941163242777
GOOG,Alphabet Inc.,Internet software/Services,Technology services,NASDAQ,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Communication Services, S&P 500 ESG, Nasdaq US Large Cap Growth, NASDAQ Computer, NASDAQ-100 Technology Sector, S&P 100, Russell 3000, Russell 1000, STOXX Global 1800, STOXX North America 600, STOXX USA 500, STOXX Global 1800 ex Asia/Pacific, STOXX Global 1800 ex Europe, STOXX Global 150, STOXX North America 50, STOXX Americas 100, STOXX Global 200, STOXX Developed Markets 150, STOXX Developed Markets 2400, STOXX USA 500",3474806624084,USD,294.9,USD,290.31,USD,3.2199999999999704,USD,1.1224987798926203,1.2026772641706716,5048263978,24388494,78765866,292207,25587195.20000001,21235813.23333334,22947987.4888889,3.8432307320274983,2.6252398052586994,2.390084125588388,294.11833333333334,27.290646776298132,1.2232053366022893,0.9941020874881299,1.2211453,0.6610739,1.1055233,3.306975621139587,6.033916151401727,3.462481141034934,1.9782726609054362,0.7737168418449307,0.4943714867836439,0.6845211723742282,0.7290526252130007,0.04991532079718826,311.069,USD,350.15,USD,350.15,USD,350.15,USD,350.15,USD,295.07,USD,295.6,USD,295.6,USD,295.6,USD,295.6,USD,297.76,USD,297.985,USD,297.985,USD,297.985,USD,2111738.81144534,USD,294.7320000000003,294.6787500000003,295.09199999999856,295.0802230769228,295.715302903895,295.0182499999998,294.3211970961046,295.71354727776924,294.854145000001,293.99474272223273,US02079K1079,0.9941020874881299,2026-02-04,2026-04-28,Strong buy,379.643024,USD,Buy,288.3243046092176,287.462742354415
GOOGL,Alphabet Inc.,Internet software/Services,Technology services,NASDAQ,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Communication Services, S&P 500 ESG, Nasdaq US Large Cap Growth, NASDAQ Computer, NASDAQ-100 Technology Sector, ISE CTA Cloud Computing, NASDAQ CB Insights Metaverse US, S&P 100, Russell 3000, Russell 1000",3474806624084,USD,297.39,USD,290.8,USD,3.25,USD,1.1301989150090417,1.1267213798859401,5803462752,37666178,116682822,357246,35674581.600000024,31860047.16666667,35609703.3222222,4.4626562446196685,2.9298577248646405,2.480077222151291,296.1066666666667,27.52107644897695,1.3070576297928234,1.1108035849171625,1.2439744,0.6778212,1.1009383,2.6918408160057288,4.456814561380331,4.000266563590741,2.6056447107987757,1.0963397478407748,0.6885438999555323,0.871810074490651,0.6981783143936195,0.05009243256253219,312.47,USD,349,USD,349,USD,349,USD,349,USD,297.55,USD,297.66,USD,297.93,USD,297.93,USD,297.93,USD,300.35,USD,300.52,USD,300.52,USD,300.52,USD,2111738.81144534,USD,297.20299999999975,297.0481249999999,297.3530000000011,297.2211076923067,297.84191976812735,297.225,296.6080802318727,297.95957305915834,296.97171999999995,295.98386694084155,US02079K3059,1.1108035849171625,2026-02-04,2026-04-28,Strong buy,379.804851,USD,Buy,289.88061688294823,288.71313858453857
MSFT,Microsoft Corporation,Packaged software,Technology services,NASDAQ,"S&P 500, NASDAQ 100, Dow Jones Industrial Average, NASDAQ Composite, S&P 500 Information Technology, S&P 500 ESG, Nasdaq US Large Cap Growth, NASDAQ Computer, NASDAQ-100 Technology Sector, ISE CTA Cloud Computing, NASDAQ CB Insights Metaverse US, S&P 100, Russell 3000, Dow Jones Composite Average, Russell 1000, STOXX Global 1800, STOXX North America 600, STOXX USA 500, STOXX Global 1800 ex Asia/Pacific, STOXX Global 1800 ex Europe, STOXX Global 150, STOXX North America 50, STOXX Americas 100, STOXX Global 200, STOXX Developed Markets 150, STOXX Developed Markets 2400, STOXX USA 500",2742804953100,USD,369.37,USD,375.54,USD,2.9399999999999977,USD,0.7942296782559357,1.450684820487885,7314609405.87,29379563,119420930,522426,37372767.7,34781280.63333333,32407269.255555555,1.5725149375339544,2.2208529305395097,2.154873341693842,370.52,23.11032415894487,0.8341369787227135,0.7934919501421013,0.9929912,1.1591814,1.0982906,4.648890064135604,3.8874278018695447,2.9918864280301536,2.1528412424025207,0.7069002248841324,0.366721504282791,0.5115882729186947,0.6400635872012672,0.054902792187890924,413.05,USD,489.7,USD,553.72,USD,555.45,USD,555.45,USD,369.46,USD,369.7495,USD,369.77,USD,369.77,USD,369.77,USD,372.02,USD,373.99,USD,373.99,USD,373.99,USD,1235631.57894737,USD,369.2300199999996,369.2475125000001,369.31489999999894,369.2745769230779,369.61488285417215,369.3230050000005,369.0311271458288,369.57737154501405,369.24822499999954,368.919078454985,US5949181045,0.7934919501421013,2026-01-28,2026-04-28,Strong buy,587.771837,USD,Neutral,367.5499902123331,369.5017606429445
AMZN,"Amazon.com, Inc.",Internet retail,Retail trade,NASDAQ,"S&P 500, NASDAQ 100, Dow Jones Industrial Average, NASDAQ Composite, S&P 500 Consumer Discretionary, Nasdaq US Large Cap Growth, NASDAQ Industrials, ISE CTA Cloud Computing, NASDAQ CB Insights Metaverse US, S&P 100, Russell 3000, Russell 1000, STOXX Global 1800, STOXX North America 600, STOXX USA 500, STOXX Global 1800 ex Asia/Pacific, STOXX Global 1800 ex Europe, STOXX Global 150, STOXX North America 50, STOXX Americas 100, STOXX Global 200, STOXX Developed Markets 150, STOXX Developed Markets 2400, STOXX USA 500",2260447893000,USD,210.57,USD,210,USD,2.219999999999999,USD,1.0659240409084356,0.8306525183655782,9724391658.3,45914678,150758553,596911,46966709.19999991,46601156.533333324,46886875.3,2.5889812190787334,2.8072657906198426,2.5188273560100574,210.77999999999997,29.359192437466884,1.0097384520795811,0.9946874328096567,1.4533858,1.3178246,1.4044921,3.1894270669360774,4.676052406769912,3.806103342795492,2.5707294382621075,1.0366422725597262,0.6135900435539451,0.7152351057584625,0.5949406860265966,0.04797063512647859,220.47,USD,248.94,USD,258.6,USD,258.6,USD,258.6,USD,210.8,USD,211.68,USD,211.9,USD,211.9,USD,211.9,USD,212.78,USD,213.58,USD,213.58,USD,213.58,USD,454901.015228426,USD,210.50899999999973,210.63250000000022,211.164,211.0603153846156,211.9745143650019,211.11609500000003,210.25767563499815,211.82403583515608,210.81233000000012,209.80062416484415,US0231351067,0.9946874328096567,2026-02-05,2026-04-23,Strong buy,281.070312,USD,Sell,207.97494021878273,207.16373708555176
AVGO,Broadcom Inc.,Semiconductors,Electronic technology,NASDAQ,"S&P 500, NASDAQ 100, NASDAQ Composite, PHLX Semiconductor Sector, S&P 500 Information Technology, Nasdaq US Large Cap Growth, NASDAQ Computer, NASDAQ-100 Technology Sector, NASDAQ CB Insights Metaverse US, S&P 100, Russell 3000, Russell 1000, STOXX Global 1800, STOXX North America 600, STOXX USA 500, STOXX Global 1800 ex Asia/Pacific, STOXX Global 1800 ex Europe, STOXX Global 150, STOXX North America 50, STOXX Americas 100, STOXX Global 200, STOXX Developed Markets 150, STOXX Developed Markets 2400, STOXX USA 500",1484271698300,USD,313.49,USD,314,USD,3.509999999999991,USD,1.1340505961035154,1.4506801072663271,4642396016.37,19164334,76508302,199869,25436487.8,27427356.966666665,30226130,2.022674568410213,3.3856114427343926,3.9281636201093,313.25333333333333,61.152075530586764,0.821029342830417,0.7352202173289045,2.195096,1.1382246,1.230209,4.0631164314113475,3.602978249540845,2.897299468763938,2.0008593328634094,0.7932949480737306,0.4098581010344127,0.6055721999428929,0.5863449666401434,0.035768130185909845,353.14,USD,360.66,USD,414.61,USD,414.61,USD,414.61,USD,314.1,USD,314.5,USD,314.53,USD,314.53,USD,314.53,USD,314.88,USD,315.79,USD,315.79,USD,315.79,USD,1935969.6969697,USD,313.5199999999999,313.69437499999947,313.8489999999999,313.51307692307677,314.3467697779251,313.8727499999999,313.3987302220747,315.1268933572136,312.8197450000001,310.51259664278666,US11135F1012,0.7352202173289045,2026-03-04,2026-06-04,Strong buy,470.307088,USD,Buy,309.2198105608745,309.77509994911065
TSLA,"Tesla, Inc.",Motor vehicles,Consumer durables,NASDAQ,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Consumer Discretionary, Nasdaq US Large Cap Growth, NASDAQ Industrials, NASDAQ Clean Edge Green Energy, S&P 100, Russell 3000, Russell 1000, STOXX Global 1800, STOXX North America 600, STOXX USA 500, STOXX Global 1800 ex Asia/Pacific, STOXX Global 1800 ex Europe, STOXX Global 150, STOXX North America 50, STOXX Americas 100, STOXX Global 200, STOXX Developed Markets 150, STOXX Developed Markets 2400, STOXX USA 500",1430651461800,USD,381.26,USD,378.1,USD,6.949999999999989,USD,1.8695359784801584,1.708137188971089,2694893910.3900003,58623493,202112832,1320908,65517645.49999998,60792971.96666666,65979888.04444448,3.0448032506415705,3.2820600656673737,3.272649118224204,379.49333333333334,354.33085501858733,0.9091678890449542,0.905513432819605,1.4867885,2.024966,1.897126,2.8931668097005154,2.850967530654795,2.509581238590711,1.6624329259452106,0.6975773328759151,0.37736869176007404,0.6461811159197737,0.6948801527948358,0.03403177808013275,416.3799,USD,458.34,USD,498.83,USD,498.83,USD,498.83,USD,381.53,USD,381.53,USD,381.53,USD,381.53,USD,381.53,USD,381.711,USD,383.14,USD,383.14,USD,383.14,USD,703542.6790815,USD,381.21698000000026,381.0506124999991,380.92397999999986,380.4250538461566,381.59907032497955,380.733,379.86692967502046,382.11838523805966,379.616285,377.11418476194035,US88160R1014,0.905513432819605,2026-01-28,2026-04-28,Neutral,426.2615,USD,Buy,374.20675674367106,373.9157754175343
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,Semiconductors,Electronic technology,NYSE,PHLX Semiconductor Sector,1429529317191.25,USD,341.49,USD,343.2,USD,5.949999999999989,USD,1.7606154756620769,1.5534842432312472,5181998118,14996774,49224718,450778,14885428.299999993,13597595.300000003,13202624.022222219,3.1582045621780774,4.0130833542907105,3.463203900316509,343.3066666666667,32.02659739090475,1.135940234893816,1.0237395236460092,1.5286647,1.259466,1.2945092,4.1338518878625825,3.7596816764758287,2.7477361665457987,2.1622237544658476,0.8382693498119338,0.4776240237931598,0.750987918812074,0.7578577921134504,0.05726264225642942,361.09,USD,390.205,USD,390.205,USD,390.205,USD,390.205,USD,342.12,USD,342.91,USD,342.91,USD,342.91,USD,342.91,USD,344.94,USD,348.68,USD,348.68,USD,348.68,USD,,,341.66699999999986,341.6287499999997,341.7529800000007,341.4916923076934,342.5911639829828,341.7250345500005,340.8589051170182,342.38628706323993,341.2501000000002,340.11391293676047,US8740391003,1.0237395236460092,2026-01-15,2026-04-16,Strong buy,426.074706,USD,Sell,336.15183433163224,334.65833142268366
META,"Meta Platforms, Inc.",Internet software/Services,Technology services,NASDAQ,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Communication Services, S&P 500 ESG, Nasdaq US Large Cap Growth, NASDAQ Computer, NASDAQ-100 Technology Sector, NASDAQ CB Insights Metaverse US, S&P 100, Russell 3000, Russell 1000, STOXX Global 1800, STOXX North America 600, STOXX USA 500, STOXX Global 1800 ex Asia/Pacific, STOXX Global 1800 ex Europe, STOXX Global 150, STOXX North America 50, STOXX Americas 100, STOXX Global 200, STOXX Developed Markets 150, STOXX Developed Markets 2400, STOXX USA 500",1266880271400,USD,579.23,USD,578.5,USD,7.8700000000000045,USD,1.3755614982608857,1.1133833219722797,2184325730.1,23596234,79289709,438729,21662817.6,15225408.4,16087577.8,3.5579972813774425,4.410711527148559,2.9739138710846413,581.8655,24.65763338143707,1.2928583232934314,1.1523948269081405,1.5559567,1.7661984,1.301054,2.2826446336193222,3.711532199306689,2.507361434979036,1.6888439289014654,0.6968659861470607,0.4105424496107835,0.6397234607506104,1.0367402397981522,0.07556615865734403,672.77,USD,744,USD,759.155,USD,796.25,USD,796.25,USD,579.53,USD,582.7699,USD,582.7699,USD,582.7699,USD,582.7699,USD,590.8199,USD,592.5465,USD,592.5465,USD,592.5465,USD,2548227.98453053,USD,578.9510199999992,579.4818875,580.6130000000021,579.5611538461549,583.2263253884329,580.7477499999993,578.2691746115657,582.0436839457644,579.2879999999989,576.5323160542333,US30303M1027,1.1523948269081405,2026-01-28,2026-04-29,Strong buy,859.633333,USD,Sell,568.3081610675657,569.7765493793721
